Tender Title,Reference No,Closing Date,Bid Opening Date
1. Development of Datia Airport,AAI/CHQ/DATIA/ENGG/WR,22-May-2023 06:00 PM,26-May-2023 03:00 PM
2. Construction of Boundary Wall for Proposed New AIIMS at Rewari Haryana,HITES/IDN/AIIMS-Rewari-R/BW/23,10-May-2023 11:00 AM,10-May-2023 03:00 PM
3. EE(Elect.)/CNZ/2023-24/06-02,EE(Elect.)/CNZ/2023-24/06-02,03-May-2023 03:45 PM,03-May-2023 04:00 PM
4. EE(Elect.)/CNZ/2023-24/06-03  ,EE(Elect.)/CNZ/2023-24/06-03,03-May-2023 03:45 PM,03-May-2023 04:00 PM
5. EE(Elect.)/CNZ/2023-24/06-01,EE(Elect.)/CNZ/2023-24/06-01,03-May-2023 03:45 PM,03-May-2023 04:00 PM
6. Renovation of Shed near TRF Office for maintenance purpose of Coal Handling Plant at DVC  RTPS,DVC/TENDER/HQ/CIVIL/011,09-May-2023 12:00 PM,10-May-2023 12:00 PM
7. 03/EE/DIV/UDH/2023-24,03/EE/DIV/UDH/2023-24,06-May-2023 06:00 PM,08-May-2023 03:30 PM
8. BSNL TOWER PAINTING KOTTAYAM SOUTH LOT,10/EE/BSNL/CD/KTM/2023-24,17-May-2023 06:00 PM,19-May-2023 11:30 AM
"9. Supply and Installation of 100 nos of LED auto glow Fire Exit signage with Battery back up at EMSD,RCC,SSB,WCH and SOPD , JIPMER Puducherry",HITES/FM/JIPMER/ELE/23-24/03,07-May-2023 03:00 PM,08-May-2023 03:00 PM
10. W 23 03 GM BA HSD PLG TENDER OFC FAULT RESTORATION WORK BNP II CHHINDWARA OA 2023 24,W 23 03 GM BA HSD TENDER OFC FAULT RESTORATION CHW,13-May-2023 12:00 PM,15-May-2023 12:00 PM
