tender_row_nr;tender_id;tender_country;tender_title;tender_size;tender_supplyType;tender_procedureType;tender_nationalProcedureType;tender_mainCpv;tender_cpvs;tender_addressOfImplementation_nuts;tender_year;tender_eligibleBidLanguages;tender_npwp_reasons;tender_awardDeadline;tender_contractSignatureDate;tender_awardDecisionDate;tender_bidDeadline;tender_cancellationDate;tender_estimatedStartDate;tender_estimatedCompletionDate;tender_estimatedDurationInYears;tender_estimatedDurationInMonths;tender_estimatedDurationInDays;tender_isEUFunded;tender_isDps;tender_isElectronicAuction;tender_isAwarded;tender_isCentralProcurement;tender_isJointProcurement;tender_isOnBehalfOf;tender_isFrameworkAgreement;tender_isCoveredByGpa;tender_hasLots;tender_estimatedPrice;tender_estimatedPrice_currency;tender_estimatedPrice_minNetAmount;tender_estimatedPrice_maxNetAmount;tender_estimatedPrice_EUR;tender_finalPrice;tender_finalPrice_currency;tender_finalPrice_minNetAmount;tender_finalPrice_maxNetAmount;tender_finalPrice_EUR;tender_description_length;tender_personalRequirements_length;tender_economicRequirements_length;tender_technicalRequirements_length;tender_documents_count;tender_awardCriteria_count;tender_corrections_count;tender_onBehalfOf_count;tender_lots_count;tender_publications_count;tender_publications_firstCallForTenderDate;tender_publications_lastCallForTenderDate;tender_publications_firstdContractAwardDate;tender_publications_lastContractAwardDate;tender_publications_lastContractAwardUrl;tender_indicator_INTEGRITY_SINGLE_BID;tender_indicator_INTEGRITY_CALL_FOR_TENDER_PUBLICATION;tender_indicator_INTEGRITY_ADVERTISEMENT_PERIOD;tender_indicator_INTEGRITY_PROCEDURE_TYPE;tender_indicator_INTEGRITY_DECISION_PERIOD;tender_indicator_INTEGRITY_TAX_HAVEN;tender_indicator_INTEGRITY_NEW_COMPANY;tender_indicator_ADMINISTRATIVE_CENTRALIZED_PROCUREMENT;tender_indicator_ADMINISTRATIVE_ELECTRONIC_AUCTION;tender_indicator_ADMINISTRATIVE_COVERED_BY_GPA;tender_indicator_ADMINISTRATIVE_FRAMEWORK_AGREEMENT;tender_indicator_ADMINISTRATIVE_ENGLISH_AS_FOREIGN_LANGUAGE;tender_indicator_ADMINISTRATIVE_NOTICE_AND_AWARD_DISCREPANCIES;tender_indicator_TRANSPARENCY_NUMBER_OF_KEY_MISSING_FIELDS;tender_indicator_TRANSPARENCY_AWARD_DATE_MISSING;tender_indicator_TRANSPARENCY_BUYER_NAME_MISSING;tender_indicator_TRANSPARENCY_PROC_METHOD_MISSING;tender_indicator_TRANSPARENCY_BUYER_LOC_MISSING;tender_indicator_TRANSPARENCY_BIDDER_ID_MISSING;tender_indicator_TRANSPARENCY_BIDDER_NAME_MISSING;tender_indicator_TRANSPARENCY_MARKET_MISSING;tender_indicator_TRANSPARENCY_TITLE_MISSING;tender_indicator_TRANSPARENCY_VALUE_MISSING;tender_indicator_TRANSPARENCY_YEAR_MISSING;tender_indicator_INTEGRITY_WINNER_CA_SHARE;tender_indicator_TRANSPARENCY_MISSING_ADDRESS_OF_IMPLEMENTATION_NUTS;tender_indicator_TRANSPARENCY_MISSING_ELIGIBLE_BID_LANGUAGES;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_AWARD_CRITERIA;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_CPVS;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_DURATION_INFO;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_FUNDINGS_INFO;tender_indicator_TRANSPARENCY_MISSING_SELECTION_METHOD;tender_indicator_TRANSPARENCY_MISSING_SUBCONTRACTED_INFO;buyer_row_nr;buyer_buyerType;buyer_mainActivities;buyer_id;buyer_name;buyer_nuts;buyer_city;buyer_country;buyer_postcode;lot_row_nr;lot_title;lot_selectionMethod;lot_status;lot_contractSignatureDate;lot_cancellationDate;lot_isAwarded;lot_estimatedPrice;lot_estimatedPrice_currency;lot_estimatedPrice_minNetAmount;lot_estimatedPrice_maxNetAmount;lot_estimatedPrice_EUR;lot_lotNumber;lot_bidsCount;lot_validBidsCount;lot_smeBidsCount;lot_electronicBidsCount;lot_nonEuMemberStatesCompaniesBidsCount;lot_otherEuMemberStatesCompaniesBidsCount;lot_foreignCompaniesBidsCount;lot_description_length;bid_row_nr;bid_isWinning;bid_isSubcontracted;bid_isConsortium;bid_price;bid_price_currency;bid_price_minNetAmount;bid_price_maxNetAmount;bid_price_EUR;bidder_row_nr;bidder_id;bidder_name;bidder_nuts;bidder_city;bidder_country;bidder_postcode
1;a1ccd263-59c6-47d1-94cf-090737b10588;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;33183200;33183200;MT001;2009;MT,EN;;;;2009/12/15;2008/09/11;;;;;36;1080;no;no;no;;;;no;no;yes;;1542045.2;EUR;;;1542045.2;1602324.9;EUR;;;1602324.9;;;;;;1;;;1;2;2008-01-01;2008-01-01;2010-01-01;2010-01-01;;0;100;50;100;;100;;;0;100;0;100;66.6667;;;;;;;100;;;100;;;100;100;100;100;0;100;100;100;1;NATIONAL_AUTHORITY;HEALTH;EU_body_f5b22e3464adf1e5fd666d5b5ab6eaf6a1faf22b24d0a292e849d9a03af0ce7d;Government Pharmaceuticals Services;MT001;Gwardamangia;MT;PTA 1010;1;;;AWARDED;;;;;;;;;;1;;;;;;;;1;yes;no;;1602324.9;EUR;;;1602324.9;1;EU_body_4ba54fbfb404b74e4c57f6fcc3eb7e2359d8e65533b04d107e0da2fce4d59048;RSL Steeper Ltd;UKJ41;Rochester;UK;ME2 4DP
2;49a08caa-f644-46c1-868c-f824d66f4b0d;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;31214000;31214000;MT001;2009;EN;;;;2010/10/20;2009/10/13;;;;;36;1080;no;no;no;;;;no;no;yes;;;;;;;1390650;EUR;;;1390650;;;;;;1;;;1;2;2009-01-01;2009-01-01;2010-01-01;2010-01-01;;100;100;50;100;;100;;;0;100;0;100;66.6667;;;;;;;100;;;100;;;100;100;;100;0;100;100;100;1;PUBLIC_BODY;ELECTRICITY;EU_body_e0cf0a2daca55d86245c837c291a681ae1f0220525f44376fcfebd00718bfcbf;Enemalta Corporation;;Marsa;MT;MRS 1000;1;;;AWARDED;;;;;;;;;;4;;;;;;;;1;yes;no;;1390650;EUR;;;1390650;1;EU_body_54b368ee7193aa02f90b50e56125586d136010deb47e5a34607d5905112b5609;Schneider Electric Ltd;;Leeds;UK;LS10 1BS
3;80424729-f652-429f-9db8-92590eed0d66;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;33652300;33652300;MT001;2009;MT,EN;;;;2009/09/29;2009/02/12;;;;;36;1080;no;no;no;;;;no;no;yes;;183811;EUR;;;183811;149467.5;EUR;;;149467.5;;;;;;;;;1;2;2008-01-01;2008-01-01;2010-01-01;2010-01-01;;0;100;50;100;;100;;;0;100;0;100;81.8182;;;;;;;100;;;100;;;100;100;0;100;0;100;100;100;1;NATIONAL_AUTHORITY;HEALTH;EU_body_f5b22e3464adf1e5fd666d5b5ab6eaf6a1faf22b24d0a292e849d9a03af0ce7d;Government Pharmaceuticals Services;MT001;Gwardamangia;MT;PTA 1010;1;;;AWARDED;;;;;;;;;;1;;;;;;;;1;yes;no;;149467.5;EUR;;;149467.5;1;EU_body_89ac7c574055ffe19882764e7a8150e31ba4fa370e7164d8dbd334917618939d;Charles De Giorgio Ltd;;Birkirkara;MT;BKR 1114
4;d6009b2e-2870-4877-8d1a-a893fb176a03;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;24412000;24412000;MT001;2009;MT,EN;;;;2010/10/08;2009/09/22;;;;;36;1080;no;no;no;;;;no;no;yes;;;;;;;499800;EUR;;;499800;;;;;;1;;;1;2;2009-01-01;2009-01-01;2010-01-01;2010-01-01;;0;100;50;100;;100;;;0;100;0;100;83.3333;;;;;;;100;;;100;;;100;100;;100;0;100;100;100;1;NATIONAL_AUTHORITY;HEALTH;EU_body_f5b22e3464adf1e5fd666d5b5ab6eaf6a1faf22b24d0a292e849d9a03af0ce7d;Government Pharmaceuticals Services;MT001;Gwardamangia;MT;PTA 1010;1;;;AWARDED;;;;;;;;;;1;;;;;;;;1;yes;no;;499800;EUR;;;499800;1;EU_body_a18db79f34cc876233d8c0a29663dcdb3410f161f7fef0d8d4ed29eabcd6c3e0;Associated Drug Co Ltd;;Mriehel;MT;
5;792a7c45-2e6a-479e-979c-453e418b7929;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;33196200;33196200,39000000;MT001;2009;EN;;;;2010/05/03;2009/12/10;;;;;;;yes;no;no;;;;no;no;no;;;;;;;381254.11;EUR;;;381254.11;;;;;;1;;;1;2;2009-01-01;2009-01-01;2010-01-01;2010-01-01;;100;100;50;100;;100;;;0;0;0;100;83.3333;;;;;;;100;;;100;;;100;100;;100;0;100;100;100;1;NATIONAL_AUTHORITY;OTHER,GENERAL_PUBLIC_SERVICES;EU_body_618aae389e53bc087218f91ffe52038220382daa74349c1487799a606a98f0f4;National Commission Persons with Disability;;Santa Venera;MT;SVR 1012;1;CT 2405/2008 lot 6.;;AWARDED;;;;;;;;;6;3;;;;;;;;1;yes;no;;22194;EUR;;;22194;1;EU_body_1522160336e3ea4238c1c3e0cfdc6ba3d0eb7a0ba1133a44510c321184cca704;Alfa Co Ltd;;Santa Venera;MT;
6;3afa6ac7-cc3b-43ba-b166-4dd0e9870684;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;33661200;33661200;MT001;2009;MT,EN;;;;2009/10/13;2009/04/14;;;;;36;1080;no;no;no;;;;no;no;yes;;306988.56;EUR;;;306988.56;615600;EUR;;;615600;;;;;;;;;1;2;2009-01-01;2009-01-01;2010-01-01;2010-01-01;;100;100;100;100;;100;;;0;100;0;100;81.8182;;;;;;;100;;;100;;;100;100;0;100;0;100;100;100;1;NATIONAL_AUTHORITY;HEALTH;EU_body_f5b22e3464adf1e5fd666d5b5ab6eaf6a1faf22b24d0a292e849d9a03af0ce7d;Government Pharmaceuticals Services;MT001;Gwardamangia;MT;PTA 1010;1;;;AWARDED;;;;;;;;;;2;;;;;;;;1;yes;no;;615600;EUR;;;615600;1;EU_body_236083361d0b4a87b23a117e0ca9198f83bdb9cbce387c065cc4585542ff43d7;Martinadale Pharma;;Essex;UK;CM14 4JY
7;43f64ab5-5073-4702-9a21-8e9b05c0135a;MT;;ABOVE_THE_THRESHOLD;SERVICES;OPEN;;45100000;45100000;MT001;2009;EN;;;;2010/09/13;2009/12/10;;;;;3;90;no;no;no;;;;no;no;no;;152542.38;EUR;;;152542.38;40538;EUR;;;40538;;;;;;;;;1;2;2009-01-01;2009-01-01;2010-01-01;2010-01-01;;100;100;50;100;;100;;;0;0;0;100;81.8182;;;;;;;100;;;100;;;100;100;0;100;0;100;100;100;1;NATIONAL_AUTHORITY;OTHER;EU_body_24568a0c9b005348536ce459cb960b255fae8ec527764b49bc6781a2bba75a74;Ministry for Resources and Rural Affairs;;Marsa;MT;MRS 1123;1;;;AWARDED;;;;;;;;;;2;;;;;;;;1;yes;no;;40538;EUR;;;40538;1;EU_body_6771bf73a201d7f65268f7a209caa60d50bdc836eeb14cdb6438c3a7479a0e7f;ADI Associates Environmental Consultants Ltd;;San Gwann;MT;
8;54dc2010-52d2-419f-9a17-ef3987aa67fd;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;72222300;72222300;MT001;2009;EN;;;;2009/12/14;2008/08/26;;;;;24;720;no;no;no;;;;no;no;yes;;200000;EUR;;;200000;251000;EUR;;;251000;;;;;;;;;1;2;2008-01-01;2008-01-01;2010-01-01;2010-01-01;;100;100;100;100;;100;;;0;100;0;100;81.8182;;;;;;;100;;;100;;;100;100;0;100;0;100;100;100;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES;EU_body_4f0e28083fc659e7c4b8aa92022c8ce44c3d291c76c6ce55ec55613085228aad;The Directorate Corporate Services - Ministry for Infrastructure, Transport and Communications;;Valletta;MT;VLT 1444;1;;;AWARDED;;;;;;;;;;4;;;;;;;;1;yes;no;;251000;EUR;;;251000;1;EU_body_2a19138384784e6b8afb0ea669af8daeb94acf91c4feb6243b1f98cf84fe1dd2;Alert Communications Ltd;;Santa Venera;MT;
9;e21847e6-658b-4077-9e12-dbac8fd0e181;MT;;BELOW_THE_THRESHOLD;WORKS;OPEN;;09331200;09331200;MT;2009;EN;;;;;2010/03/25;;;;;12;360;no;no;no;;;;no;no;yes;;170000;EUR;;;170000;;;;;;;;;;;1;;;1;1;2009-01-01;2009-01-01;;;;;100;50;100;;;;;0;100;0;100;;;;;;;;;;;0;;;;100;;100;0;;100;;1;REGIONAL_AUTHORITY;ENVIRONMENT;EU_body_18a775aaa3aa617579f267d47419dd25bffab8d0e40599c8e29b5527dcca928f;Kumitat Kunsilli Ghall-Energija Alternattiva;MT001;Mosta;MT;MST 9059;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;e901a8eb-244d-450f-a0d2-d412625b2da3;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;24111900;24111900;MT001;2009;MT,EN;;;;2010/03/12;2009/05/19;;;;;36;1080;no;no;no;;;;no;no;yes;;;;;;;376601;EUR;;;376601;;;;;;1;;;1;2;2009-01-01;2009-01-01;2010-01-01;2010-01-01;;100;100;100;100;;100;;;0;100;0;100;83.3333;;;;;;;100;;;100;;;100;100;;100;0;100;100;100;1;NATIONAL_AUTHORITY;HEALTH;EU_body_f5b22e3464adf1e5fd666d5b5ab6eaf6a1faf22b24d0a292e849d9a03af0ce7d;Government Pharmaceuticals Services;MT001;Gwardamangia;MT;PTA 1010;1;;;AWARDED;;;;;;;;;;2;;;;;;;;1;yes;no;;376601;EUR;;;376601;1;EU_body_b5e72d6878aeedd98b8529410d41d1fe54392f8c7886c26c67e23855f36e9731;Multigas Ltd;;Kirkop;MT;
