tender_row_nr;tender_id;tender_country;tender_title;tender_size;tender_supplyType;tender_procedureType;tender_nationalProcedureType;tender_mainCpv;tender_cpvs;tender_addressOfImplementation_nuts;tender_year;tender_eligibleBidLanguages;tender_npwp_reasons;tender_awardDeadline;tender_contractSignatureDate;tender_awardDecisionDate;tender_bidDeadline;tender_cancellationDate;tender_estimatedStartDate;tender_estimatedCompletionDate;tender_estimatedDurationInYears;tender_estimatedDurationInMonths;tender_estimatedDurationInDays;tender_isEUFunded;tender_isDps;tender_isElectronicAuction;tender_isAwarded;tender_isCentralProcurement;tender_isJointProcurement;tender_isOnBehalfOf;tender_isFrameworkAgreement;tender_isCoveredByGpa;tender_hasLots;tender_estimatedPrice;tender_estimatedPrice_currency;tender_estimatedPrice_minNetAmount;tender_estimatedPrice_maxNetAmount;tender_estimatedPrice_EUR;tender_finalPrice;tender_finalPrice_currency;tender_finalPrice_minNetAmount;tender_finalPrice_maxNetAmount;tender_finalPrice_EUR;tender_description_length;tender_personalRequirements_length;tender_economicRequirements_length;tender_technicalRequirements_length;tender_documents_count;tender_awardCriteria_count;tender_corrections_count;tender_onBehalfOf_count;tender_lots_count;tender_publications_count;tender_publications_firstCallForTenderDate;tender_publications_lastCallForTenderDate;tender_publications_firstdContractAwardDate;tender_publications_lastContractAwardDate;tender_publications_lastContractAwardUrl;tender_indicator_INTEGRITY_SINGLE_BID;tender_indicator_INTEGRITY_CALL_FOR_TENDER_PUBLICATION;tender_indicator_INTEGRITY_ADVERTISEMENT_PERIOD;tender_indicator_INTEGRITY_PROCEDURE_TYPE;tender_indicator_INTEGRITY_DECISION_PERIOD;tender_indicator_INTEGRITY_TAX_HAVEN;tender_indicator_INTEGRITY_NEW_COMPANY;tender_indicator_ADMINISTRATIVE_CENTRALIZED_PROCUREMENT;tender_indicator_ADMINISTRATIVE_ELECTRONIC_AUCTION;tender_indicator_ADMINISTRATIVE_COVERED_BY_GPA;tender_indicator_ADMINISTRATIVE_FRAMEWORK_AGREEMENT;tender_indicator_ADMINISTRATIVE_ENGLISH_AS_FOREIGN_LANGUAGE;tender_indicator_ADMINISTRATIVE_NOTICE_AND_AWARD_DISCREPANCIES;tender_indicator_TRANSPARENCY_NUMBER_OF_KEY_MISSING_FIELDS;tender_indicator_TRANSPARENCY_AWARD_DATE_MISSING;tender_indicator_TRANSPARENCY_BUYER_NAME_MISSING;tender_indicator_TRANSPARENCY_PROC_METHOD_MISSING;tender_indicator_TRANSPARENCY_BUYER_LOC_MISSING;tender_indicator_TRANSPARENCY_BIDDER_ID_MISSING;tender_indicator_TRANSPARENCY_BIDDER_NAME_MISSING;tender_indicator_TRANSPARENCY_MARKET_MISSING;tender_indicator_TRANSPARENCY_TITLE_MISSING;tender_indicator_TRANSPARENCY_VALUE_MISSING;tender_indicator_TRANSPARENCY_YEAR_MISSING;tender_indicator_INTEGRITY_WINNER_CA_SHARE;tender_indicator_TRANSPARENCY_MISSING_ADDRESS_OF_IMPLEMENTATION_NUTS;tender_indicator_TRANSPARENCY_MISSING_ELIGIBLE_BID_LANGUAGES;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_AWARD_CRITERIA;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_CPVS;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_DURATION_INFO;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_FUNDINGS_INFO;tender_indicator_TRANSPARENCY_MISSING_SELECTION_METHOD;tender_indicator_TRANSPARENCY_MISSING_SUBCONTRACTED_INFO;buyer_row_nr;buyer_buyerType;buyer_mainActivities;buyer_id;buyer_name;buyer_nuts;buyer_city;buyer_country;buyer_postcode;lot_row_nr;lot_title;lot_selectionMethod;lot_status;lot_contractSignatureDate;lot_cancellationDate;lot_isAwarded;lot_estimatedPrice;lot_estimatedPrice_currency;lot_estimatedPrice_minNetAmount;lot_estimatedPrice_maxNetAmount;lot_estimatedPrice_EUR;lot_lotNumber;lot_bidsCount;lot_validBidsCount;lot_smeBidsCount;lot_electronicBidsCount;lot_nonEuMemberStatesCompaniesBidsCount;lot_otherEuMemberStatesCompaniesBidsCount;lot_foreignCompaniesBidsCount;lot_description_length;bid_row_nr;bid_isWinning;bid_isSubcontracted;bid_isConsortium;bid_price;bid_price_currency;bid_price_minNetAmount;bid_price_maxNetAmount;bid_price_EUR;bidder_row_nr;bidder_id;bidder_name;bidder_nuts;bidder_city;bidder_country;bidder_postcode
1;6182ff95-f135-468b-99f8-e9d8083af58f;MT;Tender for the Provision of Security Services at Malta Libraries.;;SERVICES;OPEN;pt_open;79710000;79710000;;2016;EN;;;;;2016/07/07;;;;;;;no;no;no;;;;no;no;no;no;;;;;;;;;;;65;;;;;;;;1;1;2016-05-31;2016-05-31;;;;;100;50;100;;;;;0;0;0;100;;;;;;;;;;;0;;;;100;0;100;0;;100;;1;NATIONAL_AUTHORITY;OTHER,GENERAL_PUBLIC_SERVICES,HEALTH,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS,ENVIRONMENT,PUBLIC_ORDER_AND_SAFETY,DEFENCE,RECREATION_CULTURE_AND_RELIGION,HOUSING_AND_COMMUNITY_AMENITIES,SOCIAL_PROTECTION,WATER,ELECTRICITY,GAS_AND_HEAT_PRODUCTION;EU_body_c027c18b11cc1957386e7a659059e7af137fccb611b51f25f4d23e61519c4825;Department of Contracts;MT;Floriana;MT;FRN 1600;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;d74ba36c-8351-4190-907f-0117acee4f55;MT;;;;;;;;;2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;0;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES;EU_body_c7dab2ae577a048fe4840c5ad89bd4c5e6c4c7884adb2c07cf178be3e41154f4;Department of Contracts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;8c31acfd-1eb8-4a97-a472-f8373d855202;MT;Tender for the Supply, Delivery and Installation of Vehicle and Pedestrian Restraint Systems and other Metal Works (all Regions).;;WORKS;OPEN;pt_open;34928310;34928310,34928300,34928320;;2016;;;;;;2016/05/13;;;;;;;no;no;no;;;;no;no;no;no;;;;;;;;;;;127;;;;;1;;;1;1;2016-04-19;2016-04-19;;;;;100;50;100;;;;;0;0;0;;;;;;;;;;;;0;;;;0;;100;0;;100;;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,OTHER;EU_body_74793b165e91462dabafac1da3562e619475cd7c1ab23c024bf128d347afa976;Transport Malta;MT;Marsa;MT;MRS 1917;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;82a2fc56-e1c6-4598-809f-4e24dbee04c3;MT;Refitting and Furnishing of Offices and Delegation Lounges at the Grand Master's Palace, Valletta.;;WORKS;OPEN;pt_open;45453100;45453100,39100000,39200000;;2016;;;;;;2016/02/26;;;;;;;no;no;no;;;;no;no;no;no;;;;;;;;;;;98;;;;;1;;;1;1;2016-01-30;2016-01-30;;;;;100;50;100;;;;;0;0;0;;;;;;;;;;;;0;;;;0;;100;0;;100;;1;NATIONAL_AUTHORITY;OTHER,GENERAL_PUBLIC_SERVICES;EU_body_b81de51580b55dc273b3fb2400e3ac012003269c6f18321d574f1a8a5c2ee993;Grand Harbour Regeneration Corporation plc;MT;FLORIANA;MT;FRN1700;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;333133e3-0b70-4a7f-8d4a-2c5156c68a44;MT;Tender for the tests required to check the structural conditions of the 2 main pools at Tal-Qroqq Sports Complex, Tal-Qroqq Msida.;BELOW_THE_THRESHOLD;SERVICES;OPEN;pt_open;71230000;71230000,71312000;;2016;;;;;;;;;;;;;no;no;no;;;;no;no;no;;;;;;;24679.12;EUR;;;24679.12;130;;;;;1;;;1;1;;;2016-03-12;2016-03-12;http://ted.europa.eu/udl?uri=TED:NOTICE:085558-2016:TEXT:EN:HTML;100;0;100;100;100;100;;;0;0;0;;;;;;;;;100;;;100;;;0;;;;;100;;100;1;NATIONAL_AUTHORITY;OTHER;EU_body_162dabf51a058ba473c208c66e05c77c44f240c33b268889aa335bf2c9acad31;Sport Malta;MT;Cospicua;MT;BML 9020;1;;;AWARDED;;;;;;;;;;3;;;;;;;;1;yes;no;;24697.12;EUR;;;24697.12;1;EU_body_ff6787aaa0d2dab674656979cd49348922b4384b37f8b9b1bb066f74c69aa811;Terracore Ltd;MT;Mosta [Il-Mosta];MT;
6;4941d57c-07de-4753-b880-784029ef3a44;MT;Call for Quotation for the Replacement of Existing 6 Floodlighting Units Mounted on Galvanized Poles 6m high, with 150w LED Floodlights/4000K/Cool White, IP65 and Installation of 2 Poles with 2 Led Floodlights on Each Pole at Flagstone Quay Marsa.;BELOW_THE_THRESHOLD;WORKS;OPEN;pt_open;44212225;44212225,31518100;;2016;;;;;;;;;;;;;no;no;no;;;;no;no;no;;;;;;;3067.2;EUR;;;3067.2;162;;;;;1;;;1;1;;;2016-03-16;2016-03-16;http://ted.europa.eu/udl?uri=TED:NOTICE:088246-2016:TEXT:EN:HTML;100;0;100;100;100;100;;;0;0;0;;;;;;;;;100;;;100;;;0;;;;;100;;100;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,OTHER;EU_body_74793b165e91462dabafac1da3562e619475cd7c1ab23c024bf128d347afa976;Transport Malta;MT;Marsa;MT;MRS 1917;1;;;AWARDED;;;;;;;;;;8;;;;;;;;1;yes;no;;3067.2;EUR;;;3067.2;1;EU_body_55aadd3c8e771782fb07aaf3a23929f420fe02f5f4934b3baf753570edde5d6d;Calleja Ltd;MT;Birkirkara;MT;
7;e97c9d73-8820-4deb-af94-9f1db164da05;MT;Supply of Dipyridamole Tablets.;;SUPPLIES;OPEN;pt_open;33621100;33621100;;2016;;;;;;2016/06/30;;;;;;;no;no;no;;;;no;no;no;yes;;;;;;;;;;;31;;;;;1;;;2;1;2016-05-28;2016-05-28;;;;;100;50;100;;;;;0;0;0;;;;;;;;;;;;0;;;;0;;100;0;;100;;1;NATIONAL_AUTHORITY;OTHER,GENERAL_PUBLIC_SERVICES,HEALTH,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS,ENVIRONMENT,PUBLIC_ORDER_AND_SAFETY,DEFENCE,RECREATION_CULTURE_AND_RELIGION,HOUSING_AND_COMMUNITY_AMENITIES,SOCIAL_PROTECTION,WATER,ELECTRICITY,GAS_AND_HEAT_PRODUCTION;EU_body_c027c18b11cc1957386e7a659059e7af137fccb611b51f25f4d23e61519c4825;Department of Contracts;MT;Floriana;MT;FRN 1600;1;Lot 1 — Dipyridamole 25mg tablets;;ANNOUNCED;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
7;e97c9d73-8820-4deb-af94-9f1db164da05;MT;Supply of Dipyridamole Tablets.;;SUPPLIES;OPEN;pt_open;33621100;33621100;;2016;;;;;;2016/06/30;;;;;;;no;no;no;;;;no;no;no;yes;;;;;;;;;;;31;;;;;1;;;2;1;2016-05-28;2016-05-28;;;;;100;50;100;;;;;0;0;0;;;;;;;;;;;;0;;;;0;;100;0;;100;;1;NATIONAL_AUTHORITY;OTHER,GENERAL_PUBLIC_SERVICES,HEALTH,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS,ENVIRONMENT,PUBLIC_ORDER_AND_SAFETY,DEFENCE,RECREATION_CULTURE_AND_RELIGION,HOUSING_AND_COMMUNITY_AMENITIES,SOCIAL_PROTECTION,WATER,ELECTRICITY,GAS_AND_HEAT_PRODUCTION;EU_body_c027c18b11cc1957386e7a659059e7af137fccb611b51f25f4d23e61519c4825;Department of Contracts;MT;Floriana;MT;FRN 1600;2;Lot 2 — Dipyridamole 100mg tablets;;ANNOUNCED;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
8;a77f43ca-478e-415b-ba18-86ac4c7800f4;MT;Tender for Dismantling, Construction Works, Supply, Installation and Commissioning of 1 Passenger Lift at Block A, Dar ir-Risq, Triq it-Tarzna, Isla using Environmentally Friendly Paints.;BELOW_THE_THRESHOLD;WORKS;OPEN;pt_open;45313100;45313100,45262500,45262522,45262300,44114000,45262330,45310000,45430000,45451000;;2016;;;;;;;;;;;;;no;no;no;;;;no;no;no;;;;;;;49900;EUR;;;49900;187;;;;;1;;;1;1;;;2016-10-12;2016-10-12;http://ted.europa.eu/udl?uri=TED:NOTICE:355583-2016:TEXT:EN:HTML;100;0;100;100;100;100;;;0;0;0;;;;;;;;;100;;;100;;;0;;;;;100;;100;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,OTHER,SOCIAL_PROTECTION,HOUSING_AND_COMMUNITY_AMENITIES;EU_body_f540efa31abb7e6b6b41e331e41efa30b853966e2a9b83004b81d49d30618ec3;Ministry for the Family and Social Solidarity;MT;Valletta;MT;VLT 1027;1;;;AWARDED;;;;;;;;;;2;;;;;;;;1;yes;no;;49900;EUR;;;49900;1;EU_body_2be70a13557fdcc96728619898ea6bb9b035ffff24910f52153e01844582ac2f;Advent Lifts Services Limited;MT;MARSA [Il-Marsa];MT;MRS 3000
9;2384c6cf-e4b1-4493-9ada-c27738ab24f5;MT;Tender for Aluminium Apertures Works at Zammit Clapp Residential Home.;;WORKS;OPEN;pt_open;14721000;14721000,44221000;;2016;EN;;;;;2016/11/17;;;;;;;no;no;no;;;;no;no;no;no;;;;;;;;;;;70;;;;;1;;;1;1;2016-10-11;2016-10-11;;;;;100;50;100;;;;;0;0;0;100;;;;;;;;;;;0;;;;100;;100;0;;100;;1;NATIONAL_AUTHORITY;OTHER,GENERAL_PUBLIC_SERVICES,HEALTH,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS,ENVIRONMENT,PUBLIC_ORDER_AND_SAFETY,DEFENCE,RECREATION_CULTURE_AND_RELIGION,HOUSING_AND_COMMUNITY_AMENITIES,SOCIAL_PROTECTION,WATER,ELECTRICITY,GAS_AND_HEAT_PRODUCTION;EU_body_c027c18b11cc1957386e7a659059e7af137fccb611b51f25f4d23e61519c4825;Department of Contracts;MT;Floriana;MT;FRN 1600;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
